gene_name,logFC,P.Value,,,,
UGT8,3.183328633,6.03E-14,,,,
ANGPTL7,5.787964069,8.75E-14,,,,
ANO4,2.2670358,1.84E-13,,,,
ARMH4,1.702488956,1.39E-12,,,,
KAT2B,2.177633188,2.50E-12,,,,
UTRN,1.851106838,3.86E-12,,,,
S100A1,2.380770233,8.11E-12,,,,
MAF,1.875291531,1.07E-11,,,,
ADARB1,1.939281303,2.63E-11,,,,
MTCL1,1.722423862,3.25E-11,,,,
CRYAB,2.685586765,3.38E-11,,,,
NRIP3,1.750455225,3.20E-11,,,,
MMP13,2.000251276,3.48E-11,,,,
CHST11,1.522941169,4.05E-11,,,,
ADCY2,2.960383843,4.79E-11,,,,
KLHL4,2.660629886,6.34E-11,,,,
FAM107B,2.02939728,7.33E-11,,,,
CITED1,4.084205854,3.99E-11,,,,
GFRA3,2.093355368,7.69E-11,,,,
MTND2P28,4.446830232,9.90E-11,,,,
APAF1,1.698538772,1.06E-10,,,,
HS3ST4,3.227014658,4.74E-11,,,,
EMILIN2,4.665071754,1.19E-10,,,,
HIPK2,1.729231667,1.30E-10,,,,
TUBB2B,1.58103912,1.35E-10,,,,
PCDHB16,1.58294988,1.43E-10,,,,
NIBAN1,1.111788474,1.99E-10,,,,
PRKD1,2.199209194,2.56E-10,,,,
NAMPT,1.39717106,2.56E-10,,,,
SLC18A1,4.411680923,1.13E-10,,,,
SERPINA3,2.774813621,2.86E-10,,,,
GALNT15,2.845944127,3.05E-10,,,,
TRPM8,2.692484815,3.14E-10,,,,
IL7R,2.546712895,3.57E-10,,,,
MFAP3L,1.657073838,3.71E-10,,,,
GLIS3,1.636207349,4.26E-10,,,,
FOS,2.742571002,4.66E-10,,,,
ALPK1,2.141453089,4.92E-10,,,,
ITGA6,1.14217559,5.83E-10,,,,
PPFIBP1,1.256400979,6.14E-10,,,,
SASH1,1.574646674,7.58E-10,,,,
NEDD4,2.460180635,7.91E-10,,,,
SOX6,2.649133325,9.62E-10,,,,
NRP2,2.501071536,1.11E-09,,,,
SRPX,1.747596579,1.19E-09,,,,
AGT,-1.571296302,1.24E-09,,,,
CTSB,1.025636824,1.33E-09,,,,
TM4SF1,1.233421015,1.44E-09,,,,
EPB41L2,1.797313871,1.44E-09,,,,
TCF7L1,1.278349623,1.67E-09,,,,
CLDN1,-1.30670881,1.57E-09,,,,
ASTN2,1.650809396,1.71E-09,,,,
DAAM2,2.567745866,1.79E-09,,,,
MTHFD1L,1.348631095,1.76E-09,,,,
LRAT,1.595128513,1.87E-09,,,,
ASAH1,1.315599233,1.82E-09,,,,
AEBP2,1.021342736,2.03E-09,,,,
CLCN5,1.720148749,2.02E-09,,,,
LXN,1.949592107,2.19E-09,,,,
IL6R,1.608212343,2.28E-09,,,,
MITF,1.857906342,2.20E-09,,,,
LATS2,1.218217091,2.27E-09,,,,
EGR3,2.208553117,2.34E-09,,,,
CD109,1.214766655,2.30E-09,,,,
HK1,0.854624896,2.43E-09,,,,
SERPINA1,2.317672845,2.69E-09,,,,
SPRY4,1.663880827,2.80E-09,,,,
GPR17,4.659021801,1.49E-09,,,,
WWP2,1.535367493,3.18E-09,,,,
CTXND1,3.448764613,1.56E-09,,,,
PLA2G2A,5.41812961,4.04E-09,,,,
MANBA,1.270334931,3.74E-09,,,,
ITGB4,1.805143136,3.91E-09,,,,
LPIN2,1.346887433,4.21E-09,,,,
ARHGEF37,1.255352555,4.37E-09,,,,
FBXO7,1.29872588,4.83E-09,,,,
SORBS1,2.03740092,5.43E-09,,,,
ELN,-2.515565559,5.50E-09,,,,
DLK1,3.352114402,5.89E-09,,,,
PAPSS2,2.039921842,5.58E-09,,,,
MAP3K20,0.952412722,5.98E-09,,,,
FRY,1.729241975,6.05E-09,,,,
NEK6,1.132966066,5.83E-09,,,,
ENOX1,2.873505374,6.31E-09,,,,
BTBD3,1.00535129,6.64E-09,,,,
TANC1,1.495168033,6.80E-09,,,,
SHROOM4,1.209264015,7.00E-09,,,,
CTSC,2.353163858,7.60E-09,,,,
PLCE1,1.44988274,8.76E-09,,,,
ITGAV,1.273810085,8.37E-09,,,,
RNF128,1.380115618,9.37E-09,,,,
SFT2D2,1.27806359,9.40E-09,,,,
SIPA1,1.460993922,1.06E-08,,,,
ARHGEF11,1.172019612,1.01E-08,,,,
GNG2,1.814968828,1.08E-08,,,,
BCAR1,1.099332493,1.15E-08,,,,
MYO1E,1.314067855,1.18E-08,,,,
OR2I1P,2.812281862,6.11E-09,,,,
ZNF106,0.820668724,1.20E-08,,,,
GPR155,1.261755967,1.23E-08,,,,
SIRT2,1.149402682,1.35E-08,,,,
P2RY1,2.089524281,1.10E-08,,,,
SOCS3,2.455721276,1.42E-08,,,,
ZEB2,0.934390723,1.34E-08,,,,
ARHGAP28,2.707072801,1.48E-08,,,,
RDH10,3.939505371,1.56E-08,,,,
PKP4,1.09937851,1.45E-08,,,,
AFAP1L1,2.195183865,1.92E-08,,,,
RARRES1,1.939146167,2.39E-08,,,,
SORCS1,2.688887782,2.59E-08,,,,
GYG2,1.724591649,2.59E-08,,,,
CDV3,1.056087213,2.41E-08,,,,
GDF10,5.759865812,1.66E-08,,,,
FRZB,5.086365149,2.94E-08,,,,
CA2,5.436734638,3.15E-08,,,,
C1QL1,2.69228392,3.00E-08,,,,
NFE2L2,0.850128001,2.97E-08,,,,
BMP5,4.103404075,3.55E-08,,,,
SLIT3,1.948733873,3.28E-08,,,,
ATP7A,1.136897527,3.25E-08,,,,
HSD3B1,2.83986129,2.92E-08,,,,
NUDT4,0.905720517,3.32E-08,,,,
MTMR1,1.119375532,3.77E-08,,,,
FBXL7,1.459928454,3.80E-08,,,,
ANKS1B,2.542847378,3.85E-08,,,,
FAM184B,3.042511101,4.18E-08,,,,
MMP12,2.308951158,4.06E-08,,,,
SCUBE2,3.049054248,4.23E-08,,,,
HEY1,3.478403248,4.43E-08,,,,
SCN4B,-1.769751024,4.44E-08,,,,
ETV6,1.045948605,4.84E-08,,,,
SERINC5,1.455962365,4.62E-08,,,,
OSTF1,1.550519861,5.13E-08,,,,
FMN1,2.730782005,5.25E-08,,,,
MID2,1.079532446,5.40E-08,,,,
SRPX2,1.834304333,4.88E-08,,,,
GFAP,2.961332276,5.84E-08,,,,
GAS7,2.644659343,5.85E-08,,,,
ETV1,1.642813789,5.82E-08,,,,
ENDOD1,1.175653348,5.41E-08,,,,
FGFR3,2.455381968,6.38E-08,,,,
SMOC2,3.457673193,6.62E-08,,,,
GJD2,2.470778509,5.37E-08,,,,
CBR1,2.005080415,6.18E-08,,,,
TMED5,1.160389763,5.62E-08,,,,
FERMT2,1.234165478,5.76E-08,,,,
DHRS3,1.646084113,6.08E-08,,,,
DSTN,0.863638477,6.11E-08,,,,
PPM1B,0.968040279,6.70E-08,,,,
DCUN1D3,0.770390371,7.05E-08,,,,
TRABD2B,2.483767411,7.35E-08,,,,
TGFB1I1,1.476990664,7.57E-08,,,,
FAM43A,2.574677138,8.09E-08,,,,
FARP1,1.041985458,7.05E-08,,,,
GASK1B,1.536365621,7.66E-08,,,,
LPP,1.146480282,7.21E-08,,,,
ID2,0.903484116,7.68E-08,,,,
SGCD,2.673904005,8.56E-08,,,,
ARHGEF3,1.164278672,8.34E-08,,,,
FZD8,1.713534429,8.93E-08,,,,
C3orf70,2.15424559,9.14E-08,,,,
ZNF608,1.090647772,8.11E-08,,,,
PRSS56,-2.321350352,9.31E-08,,,,
WIPF1,0.882661299,8.91E-08,,,,
CITED2,1.380266385,8.93E-08,,,,
PDE4DIP,1.304050096,8.64E-08,,,,
SCRG1,1.925292719,9.66E-08,,,,
IL1RAP,1.476719689,8.63E-08,,,,
NOTCH2NLA,1.219090365,9.77E-08,,,,
TCF7L2,0.904882319,9.84E-08,,,,
SPRING1,1.558815927,9.77E-08,,,,
SMOC1,-3.107667237,1.16E-07,,,,
SERPINB8,1.694985577,1.16E-07,,,,
TNS3,1.952030592,1.07E-07,,,,
AMOTL1,0.826053563,1.03E-07,,,,
HPD,-1.571871773,1.17E-07,,,,
PDZRN3,1.493145733,1.07E-07,,,,
SNCA,1.513930566,1.21E-07,,,,
ANKH,0.849034349,1.12E-07,,,,
IFI35,3.173653244,1.23E-07,,,,
LYPD1,3.813254668,1.42E-07,,,,
OBSL1,1.279777052,1.17E-07,,,,
PROS1,1.66798757,1.23E-07,,,,
SALL1,1.44917882,1.44E-07,,,,
LIMS2,1.838247352,1.44E-07,,,,
ETS1,2.532911196,1.24E-07,,,,
ARHGAP31,1.339837963,1.19E-07,,,,
CDON,2.31364015,1.49E-07,,,,
BAMBI,2.599771451,1.45E-07,,,,
AP1S2,2.068959198,1.61E-07,,,,
FHOD3,1.32972781,1.67E-07,,,,
RRAGA,0.875057895,1.53E-07,,,,
BIN3,1.083990686,1.63E-07,,,,
LEF1,2.112354246,1.74E-07,,,,
,3.342137932,1.80E-07,,,,
RTL9,3.489284063,8.53E-08,,,,
STARD13,1.9953005,1.89E-07,,,,
CABIN1,0.734721155,1.73E-07,,,,
MRPS6,1.584682638,1.90E-07,,,,
RERE,0.677670133,1.72E-07,,,,
STON1,1.403927276,1.95E-07,,,,
TNFRSF11A,2.606539393,2.09E-07,,,,
PGM3,0.841211605,1.79E-07,,,,
ITSN1,1.114164166,1.87E-07,,,,
EFNA1,1.280890973,1.96E-07,,,,
STS,2.538916458,2.22E-07,,,,
LIMK2,0.887313898,1.86E-07,,,,
MUC7,2.437319203,2.27E-07,,,,
POPDC3,2.030839129,2.19E-07,,,,
IL13RA1,1.187065618,1.91E-07,,,,
PLP1,2.991296275,2.30E-07,,,,
SEPTIN10,0.884408394,2.17E-07,,,,
NEDD9,1.45475277,2.16E-07,,,,
KLF9,1.323681186,2.34E-07,,,,
GPT2,0.772483916,2.16E-07,,,,
SLC44A3-AS1,1.716385335,2.62E-07,,,,
DACT1,1.329407653,2.50E-07,,,,
SLC16A4,1.723072509,2.63E-07,,,,
FRMD5,0.926455259,2.56E-07,,,,
DONSON,1.113251637,2.62E-07,,,,
BST1,1.802884248,2.52E-07,,,,
PLOD3,1.15692255,2.24E-07,,,,
PTAR1,1.105619497,2.37E-07,,,,
FAM89A,2.43540465,2.79E-07,,,,
TRIM51CP,4.5702324,8.27E-08,,,,
PTPN11,0.762996843,2.35E-07,,,,
HEY2,3.280705164,2.60E-07,,,,
SMARCA1,1.022631755,2.64E-07,,,,
VAX1,4.625561282,1.06E-07,,,,
JAZF1,1.745024435,3.20E-07,,,,
ANGPTL2,2.321727563,3.11E-07,,,,
C5orf15,1.141708481,2.78E-07,,,,
MDFIC,1.353293271,3.03E-07,,,,
AFF1,1.076001654,3.00E-07,,,,
LYN,1.989469397,3.41E-07,,,,
EFR3A,0.802162603,3.11E-07,,,,
OAT,0.885418566,3.08E-07,,,,
DIP2B,0.955759267,3.08E-07,,,,
ADAM23,1.956712868,3.64E-07,,,,
ITPRIPL2,1.422316481,3.22E-07,,,,
ATP1A1,0.734607953,3.05E-07,,,,
TMEM135,1.016194379,3.67E-07,,,,
EFR3B,1.560403155,3.90E-07,,,,
CLDN11,2.953479947,3.67E-07,,,,
PHKA1,1.287971784,3.85E-07,,,,
TMEM109,0.865335723,3.69E-07,,,,
GASK1A,1.799318166,3.88E-07,,,,
MAML2,1.166602234,3.81E-07,,,,
GRIK2,2.072853625,4.02E-07,,,,
OSMR,1.269380147,3.27E-07,,,,
LIMD1,1.082179043,4.09E-07,,,,
FOXN3,0.785280815,3.82E-07,,,,
GOLPH3,0.920968928,3.80E-07,,,,
SERPINE2,1.933643939,3.77E-07,,,,
CTDSPL,1.147189955,4.32E-07,,,,
PKIG,1.655138995,4.53E-07,,,,
SOWAHC,1.045105949,4.67E-07,,,,
AEBP1,1.983719182,4.31E-07,,,,
GLUL,0.692869283,4.12E-07,,,,
MXRA5Y,9.060113714,5.32E-09,,,,
,4.130117721,2.84E-07,,,,
PNMA8A,1.881849245,4.96E-07,,,,
KHDRBS2,2.44111447,3.78E-07,,,,
SLC44A1,1.239346959,4.30E-07,,,,
SH3D19,1.716913803,4.77E-07,,,,
WIF1,-1.353511338,5.02E-07,,,,
LUZP2,2.672029284,4.78E-07,,,,
ID4,1.265173965,5.12E-07,,,,
GAK,0.878101241,4.79E-07,,,,
MYH10,0.997859476,4.59E-07,,,,
MMP16,2.217823104,5.63E-07,,,,
SDK2,0.92556554,4.89E-07,,,,
GPR65,3.086955868,5.93E-07,,,,
LRRC17,2.067601185,6.16E-07,,,,
C1orf198,0.964714425,5.11E-07,,,,
TRIM2,1.432851621,5.30E-07,,,,
HEXB,1.201913371,5.22E-07,,,,
SH3BP5,0.98494517,5.35E-07,,,,
HPS5,1.793003529,6.09E-07,,,,
ATP10D,0.98759787,5.49E-07,,,,
LOXL4,0.975435458,5.18E-07,,,,
PTGR1,1.114949126,5.93E-07,,,,
TRIM67,1.939784042,6.98E-07,,,,
TRAF1,2.836788012,7.38E-07,,,,
MCC,1.195737937,6.44E-07,,,,
ADAMTS15,1.920135052,6.16E-07,,,,
ITGA4,1.966585755,7.05E-07,,,,
GOLIM4,0.912317593,6.12E-07,,,,
PDPN,1.774354385,6.34E-07,,,,
RPL14,0.785926297,6.00E-07,,,,
NDUFA4L2,-1.053961265,6.67E-07,,,,
PPFIBP2,1.725629224,7.91E-07,,,,
RHCE,2.76367533,4.82E-07,,,,
COPA,0.613517073,6.27E-07,,,,
GAPDH,0.843825328,6.17E-07,,,,
ADGRG6,1.365547064,6.75E-07,,,,
CYP27A1,2.636026323,8.08E-07,,,,
S100B,2.537463409,7.91E-07,,,,
