gene_name,logFC,P.Value,,,,
PLEKHG4B,2.886071332,2.98E-13,,,,
MAP7D2,-2.441561089,2.60E-12,,,,
HMGB2,1.558074305,5.11E-12,,,,
SEMA5A,2.903880976,1.20E-11,,,,
AMOT,2.027945338,1.39E-11,,,,
COL4A5,1.891209361,1.53E-11,,,,
EFNA5,1.686178472,1.55E-11,,,,
PAX6,2.189599713,1.79E-11,,,,
NME4,1.600506633,1.85E-11,,,,
CA14,3.027854413,1.47E-11,,,,
BMF,2.462358551,2.04E-11,,,,
GPC3,3.185438394,2.06E-11,,,,
OTX1,3.867347685,1.02E-11,,,,
PRSS23,1.387358542,3.32E-11,,,,
SEMA3A,2.175240673,3.33E-11,,,,
TCF7L2,1.516044989,5.19E-11,,,,
NSG1,-1.905953143,8.04E-11,,,,
WLS,1.235694454,8.33E-11,,,,
ID2,1.254367936,9.25E-11,,,,
CPAMD8,3.110049472,1.41E-10,,,,
PI15,5.681532407,1.50E-10,,,,
CPXM1,3.222568007,2.68E-10,,,,
STMN2,-3.980250799,3.15E-10,,,,
ZIC1,3.667571338,3.10E-10,,,,
PTPN13,1.285619842,3.77E-10,,,,
TRPM3,5.558404807,2.66E-10,,,,
MAF,2.181551646,4.02E-10,,,,
APCDD1,2.315963492,6.15E-10,,,,
PRC1,1.844752972,6.46E-10,,,,
KAT2B,2.007912677,6.75E-10,,,,
LHX4,-1.895969353,7.64E-10,,,,
NMNAT2,-2.675370109,8.11E-10,,,,
IMPA2,2.146828203,1.24E-09,,,,
SFT2D2,1.679348219,1.65E-09,,,,
CA10,-2.500384671,1.74E-09,,,,
PLTP,1.783878732,1.90E-09,,,,
NAMPT,1.444547645,1.90E-09,,,,
MANEAL,-1.706095391,2.08E-09,,,,
SPDL1,1.480952168,2.12E-09,,,,
BOC,1.702520201,2.12E-09,,,,
TTN,2.413399161,2.43E-09,,,,
MAP3K20,1.262134563,2.49E-09,,,,
UTRN,1.57268546,2.45E-09,,,,
HMGN2,1.179494013,2.39E-09,,,,
CTDSP2,0.930973252,2.50E-09,,,,
DLK1,3.42739381,2.94E-09,,,,
STON1,1.89791846,2.79E-09,,,,
SMO,1.046727098,3.49E-09,,,,
SH3GL3,-1.699302974,4.10E-09,,,,
IFITM3,1.909958542,4.47E-09,,,,
TOP2A,2.119989743,4.48E-09,,,,
GLIS3,2.813898308,4.07E-09,,,,
TMEM178B,-2.5071715,4.71E-09,,,,
PLD5,-3.27358717,4.26E-09,,,,
GLI3,1.137394632,4.58E-09,,,,
TRAK2,-1.005603613,4.82E-09,,,,
ANLN,1.952295538,5.36E-09,,,,
CNTNAP3,2.53398097,4.70E-09,,,,
SIX3,4.355695496,2.94E-09,,,,
PLEKHA4,2.617354803,6.14E-09,,,,
HBEGF,-1.739226682,6.82E-09,,,,
EPB41L2,1.95841247,7.23E-09,,,,
NPC2,1.459731025,7.84E-09,,,,
PHF19,1.454906155,8.34E-09,,,,
RPS16,1.122783441,7.86E-09,,,,
GLUL,0.86043178,8.03E-09,,,,
COL11A1,2.539646339,9.40E-09,,,,
TNNI1,4.644317783,1.49E-09,,,,
RPL14,1.016470784,8.26E-09,,,,
LMNB1,1.506128504,1.02E-08,,,,
SPNS2,-2.466955868,1.13E-08,,,,
CCNB1,1.782075805,1.20E-08,,,,
RIMS2,-1.629009219,1.32E-08,,,,
KIF18B,2.703091386,9.94E-09,,,,
MTCL1,1.456686862,1.38E-08,,,,
DEPDC1,2.568926169,1.04E-08,,,,
SDK2,1.170082468,1.35E-08,,,,
HIPK2,1.470482789,1.34E-08,,,,
HRC,4.343148795,4.36E-09,,,,
AEBP2,1.066211549,1.52E-08,,,,
FBXO41,-1.230355076,1.67E-08,,,,
MKI67,2.472803148,1.79E-08,,,,
PARP4,1.42947555,1.78E-08,,,,
CACNA1H,1.531535242,2.00E-08,,,,
SLC16A9,1.327058005,1.91E-08,,,,
CDK4,1.188383199,1.99E-08,,,,
PLCE1,1.845993552,2.27E-08,,,,
ANP32B,1.246216715,1.98E-08,,,,
