Symbol,Approved.Symbol
03-01,MTARC1
03-01,MARCHF1
03-02,MTARC2
03-02,MARCHF2
03-03,MARCHF3
03-04,MARCHF4
03-05,MARCHF5
03-06,MARCHF6
03-07,MARCHF7
03-08,MARCHF8
03-09,MARCHF9
03-1,MTARC1
03-1,MARCHF1
03-10,MARCHF10
03-11,MARCHF11
03-2,MTARC2
03-2,MARCHF2
03-3,MARCHF3
03-4,MARCHF4
03-5,MARCHF5
03-6,MARCHF6
03-7,MARCHF7
03-8,MARCHF8
03-9,MARCHF9
03/01,MTARC1
03/01,MARCHF1
03/02,MTARC2
03/02,MARCHF2
03/03,MARCHF3
03/04,MARCHF4
03/05,MARCHF5
03/06,MARCHF6
03/07,MARCHF7
03/08,MARCHF8
03/09,MARCHF9
03/1,MTARC1
03/1,MARCHF1
03/10,MARCHF10
03/11,MARCHF11
03/2,MTARC2
03/2,MARCHF2
03/3,MARCHF3
03/4,MARCHF4
03/5,MARCHF5
03/6,MARCHF6
03/7,MARCHF7
03/8,MARCHF8
03/9,MARCHF9
0808Y08Y,NFYC-AS1
09-01,SEPTIN1
09-02,SEPTIN2
09-02,SEPTIN6
09-03,SEPTIN3
09-04,SEPTIN4
09-05,SEPTIN5
09-06,SEPTIN6
09-07,SEPTIN7
09-08,SEPTIN8
09-09,SEPTIN9
09-1,SEPTIN1
09-10,SEPTIN10
09-11,SEPTIN11
09-12,SEPTIN12
09-13,SEPTIN7P2
09-14,SEPTIN14
09-15,SELENOF
09-2,SEPTIN2
09-2,SEPTIN6
09-3,SEPTIN3
09-4,SEPTIN4
09-5,SEPTIN5
09-6,SEPTIN6
09-7,SEPTIN7
09-8,SEPTIN8
09-9,SEPTIN9
09/01,SEPTIN1
09/02,SEPTIN2
09/02,SEPTIN6
09/03,SEPTIN3
09/04,SEPTIN4
09/05,SEPTIN5
09/06,SEPTIN6
09/07,SEPTIN7
09/08,SEPTIN8
09/09,SEPTIN9
09/1,SEPTIN1
09/10,SEPTIN10
09/11,SEPTIN11
09/12,SEPTIN12
09/13,SEPTIN7P2
09/14,SEPTIN14
09/15,SELENOF
09/2,SEPTIN2
09/2,SEPTIN6
09/3,SEPTIN3
09/4,SEPTIN4
09/5,SEPTIN5
09/6,SEPTIN6
09/7,SEPTIN7
09/8,SEPTIN8
09/9,SEPTIN9
1-8D,IFITM2
1-8U,IFITM3
1-CYS,PRDX6
1-DEC,BHLHE40
1-DEC,DELEC1
1-MAR,MTARC1
1-MAR,MARCHF1
1-SEP,SEPTIN1
1/2-SBSRNA4,SEC24B-AS1
10-03,POU5F1
10-04,POU5F1
10-3,POU5F1
10-4,POU5F1
10-FTHF,ALDH1L1
10-MAR,MARCHF10
10-SEP,SEPTIN10
10/03,POU5F1
10/04,POU5F1
10/3,POU5F1
10/4,POU5F1
101F10.1,KNOP1
101F6,CYB561D2
103AS,KIR2DL4
10C,ARHGAP9
11-MAR,MARCHF11
11-SEP,SEPTIN11
11B6,MAGED2
12-01,BHLHE40
12-01,DELEC1
12-1,BHLHE40
12-1,DELEC1
12-HETER,GPR31
12-SEP,SEPTIN12
12/01,BHLHE40
12/01,DELEC1
12/1,BHLHE40
12/1,DELEC1
123F2,RASSF1
12CC4,FOXP1
12R-LOX,ALOX12B
12S,MT-RNR1
12S-LOX,ALOX12
13-SEP,SEPTIN7P2
133K02,FAM114A2
13CDNA73,FRY
14-3-3,YWHAQ
14-3-3-ZETA,YWHAZ
14-3-3GAMMA,YWHAG
14-SEP,SEPTIN14
14.1,IGLL1
14Q(0),SNORD112
14Q(I-1),SNORD113-1
14Q(I-2),SNORD113-2
14Q(I-3),SNORD113-3
14Q(I-4),SNORD113-4
14Q(I-5),SNORD113-5
14Q(I-6),SNORD113-6
14Q(I-7),SNORD113-7
14Q(I-8),SNORD113-8
14Q(I-9),SNORD113-9
14Q(II-1),SNORD114-1
14Q(II-10),SNORD114-10
14Q(II-11),SNORD114-11
14Q(II-12),SNORD114-12
14Q(II-13),SNORD114-13
14Q(II-14),SNORD114-14
14Q(II-15),SNORD114-15
14Q(II-16),SNORD114-16
14Q(II-17),SNORD114-17
14Q(II-18),SNORD114-18
14Q(II-19),SNORD114-19
14Q(II-2),SNORD114-2
14Q(II-20),SNORD114-20
14Q(II-21),SNORD114-21
14Q(II-22),SNORD114-22
14Q(II-23),SNORD114-23
14Q(II-24),SNORD114-24
14Q(II-25),SNORD114-25
14Q(II-26),SNORD114-26
14Q(II-27),SNORD114-27
14Q(II-28),SNORD114-28
14Q(II-29),SNORD114-29
14Q(II-3),SNORD114-3
14Q(II-30),SNORD114-30
14Q(II-31),SNORD114-31
14Q(II-4),SNORD114-4
14Q(II-5),SNORD114-5
14Q(II-6),SNORD114-6
14Q(II-7),SNORD114-7
14Q(II-8),SNORD114-8
14Q(II-9),SNORD114-9
15-LOX-1,ALOX15
15-LOX-2,ALOX15B
15-SEP,SELENOF
15.212,KIR2DL4
15.5K,SNU13
156DAG,DAG1
15E1.2,GATC
16.1,IGLL3P
16.2,IGLL2P
16.3A5,CD59
16A,ATP6AP1
16E1BP,TRIP13
16S,MT-RNR2
17-1A,EPCAM
17-BETA-HSD11,HSD17B11
17-BETA-HSDXI,HSD17B11
1700010H15RIK,DNAL1
1700024P04RIK,H2BL1P
170A,SKIC2
17B-HSD10,HSD17B10
182-FIP,NUFIP2
183ACTI,KIR2DS2
18A2,S100A4
19A,SLAMF7
1A1-3B,NBR1
1A6/DRIM,UTP20
1C7,NCR3
1D,LMOD1
1R20,RGS1
2'-PDE,PDE12
2-19,FAM3A
2-21,FAM3B
2-COP,COPG2
2-HPCL,HACL1
2-MAR,MTARC2
2-MAR,MARCHF2
2-SEP,SEPTIN2
2-SEP,SEPTIN6
209L8,ILVBL
20D7-FC4,FBXO46
21-GARP,SH3BGR
225,EGR1
2310005P21RIK,C1QTNF3
2310047H23RIK,TXNDC15
239AB,MPPED1
239FB,MPPED2
24B2,STAC2
24P3,LCN2
2610509L04RIK,EIF4ENIF1
26RFA,QRFP
2700066J21RIK,UTP14C
277P12.9,LINC02598
28H,HMGN2P11
2A9,S100A6
2B28,UBXN1
2B4,CD244
2C18,AP1AR
2C4D,MOB4
2E4,KPTN
2F1,KLRG1
2F1,SLC25A5
2G7,LINC01150
2H9,HNRNPH3
2HOR0202,SAP18
